	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	60dfa262b225a8e45b6d4421	2022-11-15 11:16:43	2022-11-15 11:29:52	789
1	5b7f17a7338a93000155a36d	2022-11-14 22:22:07	2022-11-14 22:34:24	737
2	627414b935ba5506bee347d2	2022-11-14 16:18:29	2022-11-14 16:31:22	773
3	5cc36fcedc68980014f27704	2022-11-14 13:36:39	2022-11-14 13:43:08	389
4	5f3e788210bda10837e37fca	2022-11-14 12:58:08	2022-11-14 13:10:23	735
5	5f81cf89624ff22aadd9c9a7	2022-11-14 12:20:56	2022-11-14 12:33:26	750
6	5e1cf0eb65b6d3071f489de9	2022-11-14 12:20:05	2022-11-14 12:32:55	770
7	5fe3740d2738affd7cad1bc0	2022-11-14 12:27:35	2022-11-14 12:29:05	90
8	6173a7aa2d3f11e56d9f96f2	2022-11-14 09:21:53	2022-11-14 09:34:19	746
9	5f7e180204eed80b515a3569	2022-11-14 09:10:50	2022-11-14 09:26:16	926
10	5c17c149f596b100011ca8b8	2022-11-13 22:30:38	2022-11-13 22:56:40	1562
11	5f28431d82be890d2f58a32d	2022-11-13 22:17:02	2022-11-13 22:31:22	860
12	57fbd79de7e73400019ca256	2022-11-13 21:00:07	2022-11-13 21:16:19	972
13	5d651053afb8f700198459d4	2022-11-13 20:44:33	2022-11-13 20:56:41	728
14	5e41630f6391e10286e2bddf	2022-11-13 19:37:47	2022-11-13 19:49:30	703
15	5f493fea06249046a8db8569	2022-11-13 15:58:21	2022-11-13 16:09:51	690
16	603ce90d158dc4ae761a15fa	2022-11-13 15:02:52	2022-11-13 15:11:08	496
17	62ce97db1fa788670dea28c2	2022-11-13 14:58:39	2022-11-13 15:05:48	429
18	63468948a737d638cacf18bb	2022-11-13 12:44:14	2022-11-13 12:56:18	724
19	5c4b987538878c0001c7883b	2022-11-13 07:32:55	2022-11-13 07:48:32	937
20	61470066dce66ce341df39c1	2022-11-12 17:39:29	2022-11-12 17:51:27	718
21	5c37223ebef9a20001e38dad	2022-11-12 14:59:20	2022-11-12 15:13:13	833
22	617097e90d0505595ce66612	2022-11-12 14:31:55	2022-11-12 14:44:35	760
23	62ebd08bd6729790ced8587f	2022-11-12 08:50:58	2022-11-12 09:04:52	834
24	58ebfc286d5fe6000166b9ff	2022-11-11 20:58:48	2022-11-11 21:01:29	161
25	60ddcc052137212419247c3c	2022-11-11 14:49:46	2022-11-11 15:02:20	754
26	611cf78346c5e728a66f1ebe	2022-11-10 16:04:18	2022-11-10 16:25:46	1288
27	5b6cd747a1fda800015ff9ba	2022-11-10 13:06:26	2022-11-10 13:33:23	1617
28	5fc0ddfbcfc57d00094c4b3d	2022-11-08 19:32:18	2022-11-08 19:42:46	628
29	5d9261e776e8dd00195f28f2	2022-11-08 17:18:37	2022-11-08 17:31:47	790
30	5f69a3c91c1e25193e3f9c7b	2022-11-08 10:58:04	2022-11-08 11:13:01	897
31	5bbbcd283895e3000163213f	2022-11-08 10:10:13	2022-11-08 10:13:03	170
32	5baa81380d7ad600017a85de	2022-11-08 08:26:08	2022-11-08 08:27:08	60
33	5baa81380d7ad600017a85de	2022-11-07 23:34:41	2022-11-07 23:36:24	103
34	611cecb5dbc0658aad64bf2d	2022-11-07 21:14:14	2022-11-07 21:33:29	1155
35	5caa61abcb4af3001640e877	2022-11-07 20:53:08	2022-11-07 21:05:10	722
36	5efb98c3d5919f121a986486	2022-11-07 20:12:55	2022-11-07 20:21:07	492
37	5ed68c770e41400dd0056c55	2022-11-07 16:46:51	2022-11-07 16:59:47	776
38	5dbb0562b1df1b110ead5bba	2022-11-07 16:45:10	2022-11-07 16:58:37	807
39	634d73a0b235813241e9532a	2022-11-07 16:51:31	2022-11-07 16:52:27	56
