Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63610dc00782f84f711172f9,5f0f2ff0762218000970c967,APPROVED,2022-11-01T12:14:58.252000Z,2022-11-01T13:53:56.556000Z,2022-11-01T13:53:56.943000Z,2022-11-01T13:53:56.876487Z,5939.0,C14BP128,498,26,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63610ddb1d4b01ea66b380f1,5dccf99db9d9049777368b3b,APPROVED,2022-11-01T12:15:25.684000Z,2022-11-01T12:39:26.420000Z,2022-11-01T12:39:26.908000Z,2022-11-01T12:39:26.838627Z,1441.0,C14BP128,967,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63610e098df14088416a2f1e,62fb79a36ba83fbcd9b713c6,APPROVED,2022-11-01T12:17:41.111000Z,2022-11-01T12:57:03.694000Z,2022-11-01T12:57:04.089000Z,2022-11-01T12:57:04.017291Z,2363.0,C14BP128,77,22,Female,White,Finland,United Kingdom,Finland,Finnish,Yes,Other
636117ec07d7c5bacd117300,5d2fc33c3af1410018f872ae,APPROVED,2022-11-01T12:58:49.864000Z,2022-11-01T13:51:01.014000Z,2022-11-01T13:51:01.501000Z,2022-11-01T13:51:01.426792Z,3132.0,C14BP128,393,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636118601aad874a9d5e1a71,5a6107bb31b87a0001c6c49b,APPROVED,2022-11-01T13:00:18.545000Z,2022-11-01T13:25:41.678000Z,2022-11-01T13:25:42.212000Z,2022-11-01T13:25:42.148668Z,1524.0,C14BP128,296,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63611867261c387861f35f83,5f50e3d60305bb088998b766,APPROVED,2022-11-01T13:00:27.456000Z,2022-11-01T13:25:39.617000Z,2022-11-01T13:25:40.641000Z,2022-11-01T13:25:40.577178Z,1513.0,C14BP128,521,31,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636118a0c9d86d17ce117301,5bb0cc738f3bd70001e513e3,APPROVED,2022-11-01T13:01:22.180000Z,2022-11-01T13:24:04.099000Z,2022-11-01T13:24:04.608000Z,2022-11-01T13:24:04.545503Z,1362.0,C14BP128,1134,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636118a31b37e33046a1bfa4,629f9d0e292a1846040223b7,APPROVED,2022-11-01T13:01:25.434000Z,2022-11-01T13:46:34.228000Z,2022-11-01T13:46:34.704000Z,2022-11-01T13:46:34.637909Z,2709.0,C14BP128,195,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636118a716d622464491f4cc,6307cc2da13d39254c1f139c,APPROVED,2022-11-01T13:01:31.543000Z,2022-11-01T13:27:21.657000Z,2022-11-01T13:27:22.129000Z,2022-11-01T13:27:22.063756Z,1551.0,C14BP128,16,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
636118cd98a132ae1fa04d29,5efc4bfd3ba857044cac4787,APPROVED,2022-11-01T13:02:12.318000Z,2022-11-01T13:28:41.918000Z,2022-11-01T13:28:42.437000Z,2022-11-01T13:28:42.375880Z,1590.0,C14BP128,925,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
636118fc934ddf917cf93fbe,5eff6065cc8d32014292657f,APPROVED,2022-11-01T13:03:11.979000Z,2022-11-01T13:51:00.689000Z,2022-11-01T13:51:01.148000Z,2022-11-01T13:51:01.065311Z,2869.0,C14BP128,1136,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
