#,Do you relate to the problems of negative self-attention?,What do you tend to pay attention to when you feel anxious in a social situation?,Could you share a bit more about how you experience the relationship between anxiety and attention?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
dcrz617vipq0vbdcrz6r9oinbz3ka7ea,Yes,"My negative thoughts, unpleasant bodily sensations",,2022-12-12 14:33:00,2022-12-12 14:33:57,d088826b61,
kt4q1dulyk5t9sej9bbkt4q1bzbemerj,Yes,"My body language, how I’m standing, what I’m doing with my arms, if I’m staring, how my voice sounds, any hints of expression on the other person’s face",,2022-12-11 21:11:14,2022-12-11 21:19:32,c1b4b7a8ab,
xkkopr5n0pi04wgq1xkkotmsq8joay10,Yes,How I am acting.,,2022-11-14 18:43:39,2022-11-14 18:44:40,b1cb825bc0,
78lc7alswm5sgdj8l78lc7g7j734r1fe,Yes,I am dead,,2022-11-14 15:47:08,2022-11-14 15:49:17,0a14df0cdb,
r2zpoz5sewbjm7qh38ryr2zpoz5sz7bm,Yes,I look at the floor,,2022-11-14 14:44:38,2022-11-14 14:45:56,e8ffcab84e,
tz0j1t7h53jg7x81ktz0674a611vmapj,Yes,"How I look, am I funny, do they think I’m stupid, do they think I’m not normal",,2022-11-14 12:46:40,2022-11-14 12:48:28,5bc568ddfb,
55skwgtolwxov9dzz8h55skwgt4nmjkj,Yes,How I feel,,2022-11-14 08:58:44,2022-11-14 08:59:31,e8728f8fc1,
no5wx0snnkzwnpno5wx2l7iv0c75q87s,Yes,How unhappy I am and that the situation making me anxious will get worse,,2022-11-13 22:17:41,2022-11-13 22:19:55,3868a061da,
so72s2i9huvn5x1bpso72sf2bmsddgnf,Yes,How rubbish I feel and how people are thinking I’m stupid,,2022-11-13 20:56:23,2022-11-13 20:56:59,fd48abbf00,
4jnzw7x43pgsnhbd5nnl4jnzwz5bt26t,Yes,"The fact I am not making eye contact, my body language, my appearance",,2022-11-13 20:35:32,2022-11-13 20:36:31,2e1592dc5a,
e1zf27cj1w1wxgu88xe1zf27tbnhdlz9,Yes,"My posture, the way I look",,2022-11-13 19:29:13,2022-11-13 19:30:03,a74aeea8ed,
nwfk07x0hztx26jmwc44nwfk07sc8du1,Yes,All the things I may have done wrong,,2022-11-13 18:10:31,2022-11-13 18:11:59,bcd4d185e1,
at3q08okcnit0vjs40cat3q02touhazr,Yes,My looks,,2022-11-13 15:47:24,2022-11-13 15:53:57,6350271100,
f2j2ofs130xkqf66rf2j2ok4akv0c4do,Yes,"How I sound, how I look",,2022-11-13 14:49:17,2022-11-13 14:55:45,2ddea1db86,
glbxdukbj209ga89eu4f2glbx3218v0t,Yes,"Myself, my negative thoughts",,2022-11-13 07:26:11,2022-11-13 07:27:23,2c63144a60,
4zzsqpmk4n19l1bd0cj03y4zzsqpmkn0,Yes,If I’m sweating or not,,2022-11-12 17:37:17,2022-11-12 17:37:37,0ecbf5a55c,
54eicjbvhmvr5mrjktx54eicjbjuwa4j,Yes,How I look,,2022-11-12 14:24:48,2022-11-12 14:27:24,d60210f89f,
bhga7b46qa5pxkirry3vbhgaklzqd4x2,Yes,Myself,,2022-11-12 08:35:00,2022-11-12 08:36:28,49082b0ece,
gvlr8bz3bjteyybcg21agvlr82qkyycl,Yes,"My whole body, I’m anxious about the way I look",,2022-11-11 21:18:35,2022-11-11 21:19:48,143e11c248,
a0mwilj34mkvvj3e4ya0mwiloq7jezdw,Yes,How people see me/are thinking,,2022-11-11 20:51:41,2022-11-11 20:52:50,d100df1f15,
j3m4g5f6kb1gak7fj3m4g5f412lfrqtz,Yes,"Noises around me, whether what I’m saying is interesting/engaging",,2022-11-11 16:11:33,2022-11-11 16:13:13,0fcc80edee,
v6krttb97ziy68j2zv6krttbm3boyo28,Yes,How I look and people staring,,2022-11-10 21:36:12,2022-11-10 21:37:12,0cb58a2d3d,
858vdy6qg7auy547ax858vdy6q5a25w7,Yes,I worry about what they are thinking about what I have said or what I come across like rather than focusing on their reaction to me or how they respond fully.,,2022-11-10 21:21:27,2022-11-10 21:23:49,4f529d73bc,
zujtxbcyko3tzpt5b4lzujtxegrb0cys,Yes,My own facial expressions,,2022-11-10 20:37:57,2022-11-10 20:38:39,c440830b5a,
mvkg7vm8ktgxjspwr3yvmvkg7vjy0pou,Yes,How I’m feeling,,2022-11-10 13:04:21,2022-11-10 13:06:16,862898b666,
ett4fqr3koxdg32d8q0ett4fqwr8zbb6,Yes,What I’m saying,,2022-11-10 10:49:49,2022-11-10 10:52:25,a27a6e11ee,
7znu68icss4ac6hfcqvr7znu67wt6h5v,Yes,My blushing and sweating,,2022-11-09 17:58:00,2022-11-09 17:59:29,ce7cc221c6,
o0o4qn5y2mn5h8qmto0o43glefjd21ix,Yes,How I look and how people see me,,2022-11-09 00:34:26,2022-11-09 00:36:52,ec9612723c,
q8b15c452r8vjnnbgq8b15c5u6mu8ep2,Yes,My body : stomachache and sweating.,,2022-11-08 23:16:11,2022-11-08 23:18:46,f378eaf39f,
8curej90gmnrtpqh8curejb00m8ip78n,Yes,The surroundings,,2022-11-08 19:21:14,2022-11-08 19:23:58,92240d131a,
hs2mk6ww3e5z5g35c3jdhs2mk6zxuk3a,Yes,"How I stutter, how I avoid eye contact and look up, whether I’m saying the right thing",,2022-11-08 18:56:15,2022-11-08 18:59:02,f32ee4a26c,
2gesvdzbang7exw0n4re2gesvl24eebu,Yes,My appearance,,2022-11-08 18:17:21,2022-11-08 18:18:49,276ade13b9,
be9n98tc5l2oy42hjbe9n9999xwn1vne,Yes,Panicking,,2022-11-08 17:14:12,2022-11-08 17:15:17,7679ea8c6a,
h4kmdlf6rp2d86ibdmvr8ddv4h4kmdlf,Yes,What I’m saying and how I look,,2022-11-08 14:49:02,2022-11-08 14:50:23,3c0ac48367,
zn1494tj08i5uzqgcmo1zn1494tljipn,Yes,I always pay attention to how I might come across to other people. If they can see me shaking or are paying a lot of attention to my speech mistakes.,,2022-11-08 10:36:30,2022-11-08 10:40:02,150a778110,
u7meske596zx5wc2u7mesw5s35aazysp,Yes,What to say next,,2022-11-08 10:03:32,2022-11-08 10:04:30,94618e9cf5,
zrsa5e56mfs6zvzvupeeezrsa5e2yrjd,Yes,People looking at me,,2022-11-07 23:29:58,2022-11-07 23:30:57,d9569c1914,
fwvh20sc9w0lzdbvfnxfwvh20c4tbt2h,Yes,My hands,,2022-11-07 22:22:57,2022-11-07 22:24:36,ac0b164fa0,
vrvnkob9b8pp0c9iyvnv0qnvrvnkobfa,Yes,"Sweating, blushing, how my skin looks",,2022-11-07 20:57:18,2022-11-07 21:08:02,bb7adf872c,
ozsjxo7ujq3egfnozsjxomav4coivb4p,Yes,People around me,,2022-11-07 20:58:02,2022-11-07 20:58:51,3a37a93fb4,
