#,Did you have an experience of controlling and deliberately shifting your attention during this exercise?,How easy or hard did you find it to shift your attention according to the instructions?,I couldn't concentrate,I found the exercise irritating,I had upsetting thoughts or images,I did not find it challenging,I found it boring,Other,Did you have an experience of controlling and deliberately shifting your attention during this exercise?,How easy or hard did you find it to shift your attention according to the instructions?,I couldn't concentrate,I found the exercise irritating,I had upsetting thoughts or images,I did not find it challenging,I found it boring,Other,"Great job completing this attention training

Which part did you enjoy more?",uid,Start Date (UTC),Submit Date (UTC),Network ID,Tags
v7aplpmzqpbe0r6tv7apl26cihqnqm6c,0,Kind of hard,I couldn't concentrate,,,I did not find it challenging,,,1,Kind of easy,I couldn't concentrate,,,,,,Hearing,60dfa262b225a8e45b6d4421,2022-11-15 11:16:43,2022-11-15 11:29:52,65615e6a2e,
c079yy42tm5ub0plzmc079yy4e5yyc9r,1,Kind of easy,,,I had upsetting thoughts or images,I did not find it challenging,,,1,Kind of easy,,,I had upsetting thoughts or images,,,,Hearing,5b7f17a7338a93000155a36d,2022-11-14 22:22:07,2022-11-14 22:34:24,e8ed0cb640,
9ucr4ptr1pecv5evus9ucr4p28qcc49j,0,Kind of easy,,,,I did not find it challenging,,,1,Extremely easy,,,,I did not find it challenging,,,Hearing,627414b935ba5506bee347d2,2022-11-14 16:18:29,2022-11-14 16:31:22,7c081f5fdc,
k8dx55947ngevol57389ocrk8dx55n97,1,Kind of easy,I couldn't concentrate,,,I did not find it challenging,,,1,Extremely hard,,,,,,Not too bad,Hearing,5cc36fcedc68980014f27704,2022-11-14 13:36:39,2022-11-14 13:43:08,6e7837f859,
7ci50q2jk9i5fkixw87ci5govrowl7y5,1,Kind of hard,I couldn't concentrate,,,,,,0,Extremely hard,I couldn't concentrate,I found the exercise irritating,,,,,Seeing,5f3e788210bda10837e37fca,2022-11-14 12:58:08,2022-11-14 13:10:23,5bc568ddfb,
njfdo6x41czigeknjkfztejym7wdir5r,1,Kind of easy,I couldn't concentrate,,,,,,1,Kind of hard,I couldn't concentrate,,,,,,Hearing,5f81cf89624ff22aadd9c9a7,2022-11-14 12:20:56,2022-11-14 12:33:26,a27a6e11ee,
saxvof8tjphbsaisaxvoi1d56vbys3fg,1,Kind of easy,,,,I did not find it challenging,,,1,Kind of easy,,,,,I found it boring,,Hearing,5e1cf0eb65b6d3071f489de9,2022-11-14 12:20:05,2022-11-14 12:32:55,0b6fac9873,
vf4xptunki02gngl89q77vf4xp0j2u03,1,Neither hard nor easy,I couldn't concentrate,,,,,,0,Neither hard nor easy,I couldn't concentrate,,,,,,Hearing,5fe3740d2738affd7cad1bc0,2022-11-14 12:27:35,2022-11-14 12:29:05,c440830b5a,
syq0jlugjueyc9uswsyq0joi1nz79w1k,1,Kind of hard,,,,,,I couldn’t keep my eyes focussed on the objects,1,Kind of hard,I couldn't concentrate,,,,,,Hearing,6173a7aa2d3f11e56d9f96f2,2022-11-14 09:21:53,2022-11-14 09:34:19,ce7cc221c6,
l6eyr2liu12ohb5l6etvdmu9ixlbobra,1,Kind of easy,,,,,,I had a noise of a machine that was trying to pull my attention away. I will try it in a quieter space next time.,1,Kind of hard,I couldn't concentrate,,,,,,Seeing,5f7e180204eed80b515a3569,2022-11-14 09:10:50,2022-11-14 09:26:16,4f529d73bc,
