#,Does spiralling into negative rumination after a social situation feel relatable for you?,Could you briefly say more?,Please describe a type of situation that is likely to cause you to ruminate,What negative thoughts do you have after this situation?,How do these thoughts make you feel about going into a similar situation in the future?,"In your own words, what does ‘negative rumination’ mean?",Why does worrying about a past social event bias your memory of it?,Going over a social event in your mind afterwards...,Which is true?,Negative thought spirals...,Doom scrolling,Memory bias,Being a woman,Focusing on the negative,Avoidance,Journaling,Distractions,I'm not sure,Please choose *one* negative thought that is a judgement which you would like to balance,How much do you believe this thought?,What evidence do you have that your original thought *is* true?,"When looking for evidence in this way, we often accidentally choose beliefs rather than facts

Looking at your answer, do you think the evidence you shared is a belief (something you think) or an objective fact (something you can prove)?",What evidence do you have that your original thought *is* true?,Is there any evidence that this thought is *not* true?,Is there any evidence that this thought is *not* true?,"*Tips for creating a more balanced thought *

- The new thought can be neutral, it doesn’t have to be positive
- It can be helpful to recognise the original thought as partially true, but not the whole truth
- The new thought may be more nuanced than the original

Would you like to see an example first?","Thinking about the evidence for and against, please try to rephrase your thought in a more balanced way",How much do you believe your original thought now?,uid,Start Date (UTC),Submit Date (UTC),Network ID,Tags
kkv12wkcu9icq1kkv12mrow179pf1tua,Yes,,Small talk,"They think I’m awkward, they won’t want to talk to me again because I seemed uncomfortable, they think I’m boring","Apprehensive, fearful, dread, nervous, sadness",Stewing over negative thoughts continually.,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,I’m awkward,4,People have said I’m weird in the past,Fact,,People don’t regularly judge me as being awkward,,1,I am a unique human who has the ability and the right to be unconventional at tines.,3,5cad1eef8ed53d00180d2532,2022-12-19 23:48:47,2022-12-19 23:58:52,c1b4b7a8ab,
cyxjkfhea6omzankrllyccyxjkfq5pyz,Yes,,When I talk in front of a group of people and I’m not sure if I got the point across that I was trying to say,"I think they think I’m not intelligent, that I’m embarrassing and awkward. They think I’m annoying",I would rather not speak and avoid groups where I have to speak individually.,Negative rumination is a spiral of negative thoughts and paranoia that occur after a social situation takes place.,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,Doom scrolling,Memory bias,,Focusing on the negative,,,,,They think I’m not intelligent,2,There is no evidence other than I hesitate sometimes to answer or backtrack,Fact,,Nothing proved that im unintelligent,,0,"They may not be able to see my full potential if I take a long time to explain what I want, but that doesn’t mean I’m not capable.",1,5f69a3c91c1e25193e3f9c7b,2022-11-29 22:20:00,2022-11-29 22:27:26,150a778110,
rrr53jndym0ruxt07zrrr53jd0vt1yyz,Yes,,The morning after an event where I have had an alcoholic drink,"I said the wrong thing and annoyed/upset people, I did something weird, I overstayed my welcome","I want to go to parties/events less, I feel less confident talking to people, I minimise my personality",Persistent thinking about my negative perception of something and ignoring the positive/neutral aspects,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,People think I acted weird,3,I can be weird,Fact,,Nobody has ever followed up to say I did something weird. My partner reassures me that I don’t do weird things. I get invited back by my friends,,1,"It’s possible I might sometimes act weird, but not to such a degree that people don’t like me",2,5d651053afb8f700198459d4,2022-11-29 17:25:11,2022-11-29 17:35:11,cccfe3527d,
dpwbpk7atms72sjrxs1gdpwbpoxhjmv9,Yes,,"Most social situations. Meeting people for first time, seeing acquaintances when I don’t expect it, giving a speech",1. They think I’m weird for what I said 2. They think I’m rude/mean for what I said 3. They don’t like me anymore,Scared,When we negatively think about how we performed in a situation afterwards,because you only focus on and therefore only remember the negative,I’m not sure,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,Doom scrolling,Memory bias,,Focusing on the negative,,,,,They think I’m weird,4,None,I didn't have any evidence,,I have friends that I’m still friends with so I can’t be that weird,,0,I’m not sure,3,5e1cf0eb65b6d3071f489de9,2022-11-29 11:22:50,2022-11-29 11:28:17,c0d645723c,
vlo532n1ewlpkjdnvlo5mnm4xj3n1u3x,Yes,,small talk,"that they think I sounded stupid, that I’m really boring and awkward, that they think I’m aloof and unfriendly",I feel like I have to plan what k say carefully before I say it,Dwelling on past events and thinking negatively about them repeatedly,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,That I am boring and awkward,4,That some conversations I have don’t go anywhere and I can’t get beyond small talk with poeple,Fact,,Sometimes i can hit the right topic and I have meaningful conversations with people especially friends,,1,Sometimes small talk can be awkward but I can make conversation if I want to,3,5b7f17a7338a93000155a36d,2022-11-29 00:41:26,2022-11-29 00:47:27,dfbf89b4c3,
cyo82ndw0aajkejxcyo8vglkbziakhng,Yes,,Public talking and miss hearing something and being made fun out of,"Embarrassed, knocked confident and looked silly","Never will
Do it again",Negative thoughts and actions,because you only focus on and therefore only remember the negative,is not something you can control,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,Doom scrolling,,,Focusing on the negative,Avoidance,,,,Embarrassed,5,There is none I guess,I didn't have any evidence,,No,,1,I got something wrong. It’s human nature,3,627414b935ba5506bee347d2,2022-11-28 21:16:19,2022-11-28 21:23:26,25774a603b,
zv6awkde0r2vtzv6xsh76tjon5dblxsh,Yes,,When going into a room full of people already there and they looked at me,They might be looking at what I am wearing. They mighty question my age and capabilities to be there on my own. They might recognize I am a latino person who speaks with an accent,"Worst, i do not want to experience being judged and feel embarrassed","It means thinking about a past experience in a bad way, assuming and guessing other people’s thoughts about me.",because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,They might recognize that my English is not good enough because I am an immigrant,4,I have experienced racism in the past but i do not have any facts for this specific situation,I didn't have any evidence,,I feel like my English is not too bad and I actually like my accent,,1,I am different to other people and that is ok. I have an accent that reminds me of where i come from. I will continue making mistakes and learning,2,57fbd79de7e73400019ca256,2022-11-28 20:32:43,2022-11-28 20:42:05,f378eaf39f,
z6u9jozpzi7kct6vz6u9jofwrqk2xr3z,Yes,,When I did something wrong,They thing I am useless; stupid; don’t deserve everything,Depressed,I don’t deserve what I have,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,Doom scrolling,,,Focusing on the negative,Avoidance,,,,They think I am stupid,3,I did something wrong,Fact,,I also did something right,,1,Not all the people are also right,3,601732b73bdebe96ac49d4eb,2022-11-28 17:18:14,2022-11-28 17:57:03,2be564b7ef,
vwtvm80m1czisz2vwyvwtvm8q7j7ly4n,Yes,,"Small talk, unplanned meeting","The way I sound, if the other person was interested in what I had to say, if I spoke very well",Anxious,Going over the negative side after a social interaction,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,The way I sound,5,I speak low,Belief,None,,No,1,"When I have more in common with a person I do sound confident and judge myself less harshly, I can help myself by speaking slowly",3,5cc36fcedc68980014f27704,2022-11-28 16:18:39,2022-11-28 16:32:27,80634e548a,
iraprrg9lejjkoj72tirap7v32l272pn,Yes,,Small talk when I wasn’t expecting it,"They think I’m weird, I don’t know what I’m doing and that they won’t like me because I seem so anxious",They make me try and avoid it and instead use short answers,Repeating a negative behaviour and perceiving it in a way that isn’t truthful,because you only focus on and therefore only remember the negative,often makes things seem worse than they are,negative thought spirals can make you less likely to engage in similar social situations next time,increase anxiety,,Memory bias,,Focusing on the negative,Avoidance,,,,They think I’m weird and stupid,5,"Because I don’t know a lot about what I am saying, that I mumble and stumble with my words",Belief,None,,"They continue to talk to me, they still get in contact and they don’t move away",1,"I am human, and am nervous and insecure about myself",2,63468948a737d638cacf18bb,2022-11-28 13:39:32,2022-11-28 13:45:20,3a37a93fb4,
