#,#1 Famous people don't experience social anxiety,#2 Only introverts experience social anxiety,#3 Social anxiety is common,#4 Social anxiety is something you cannot change - you either have it or you don't,uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
52fje6i6ntz2nlcj52f38n1buli7vnj3,False,False,True,False,5f28196752b92a0a83d7a9db,M0E3,2023-04-16 22:20:34,2023-04-16 22:21:10,429c0928ce,
m0zk6tf84xi75g8uwm0zk6t89bpm7cl2,False,False,True,False,62a1fd297768ca1c93288d11,M0E3,2023-04-14 10:13:33,2023-04-14 10:13:51,2eb31868d7,
sg3jax0y2i68j5vb80sg3jaxi5cai6i3,False,False,True,False,5360c37cfdf99b02ccc08fcb,M0E3,2023-04-12 10:32:17,2023-04-12 10:32:40,00059cb585,
4vg7i04f5hwndcua2hs4vg5wvrphgm13,False,False,True,False,56b8ad1be1d0a2000c154093,M0E3,2023-04-11 16:16:03,2023-04-11 16:17:15,06a8283cdc,
r1ouoxpa2ordoak890th9xr1ouoxpq3i,False,False,True,False,5f76e2c2c75fa118deba7f46,M0E3,2023-04-11 13:05:36,2023-04-11 13:06:43,f1a9732e91,
9gjaucd8l1kaffz9gjaru8j9ypjrlou8,False,False,True,False,5d6d8664171f6f0016e53a20,M0E3,2023-04-07 08:07:37,2023-04-07 08:09:34,9e5da350c7,
6lfugguajccb5ik9c6lf5yp7hhq76lza,False,False,True,False,5f85f0cab3f4e20ebf578203,M0E3,2023-04-06 22:20:07,2023-04-06 22:20:50,cac76104eb,
ttv59xc4xv9r1t8gxucttv59fdqxxl8w,False,False,True,False,5d5e4ae367962a00151b58f6,M0E3,2023-04-03 22:18:01,2023-04-03 22:18:50,4b8f881434,
9hdid51jhmtgybgnxz77q9hdid5ze92h,False,False,True,False,62b182ba39468032223841bb,M0E3,2023-04-03 16:12:55,2023-04-03 16:13:39,9c26dc67cc,
zvxwvswmtwitizvxwgaaucmxmmbx3c9g,False,False,True,False,62a3b97d41ae082b602e815b,M0E3,2023-04-03 15:32:31,2023-04-03 15:33:37,84454800d8,
009fjoec8ip6um5cj009f9inmc1q967p,False,False,True,False,63e812a9bbba876a34f1a8b3,M0E3,2023-04-03 13:55:37,2023-04-03 13:56:22,438aaae84f,
hdz8iwsvbdd81er5q66u4hdz8iws60lg,False,False,True,False,628a119d0b74d2b456ce5201,M0E3,2023-04-03 10:03:48,2023-04-03 10:04:52,0638a4351f,
pmg3axu82it1j73uvosyfpmg3a7byff8,False,False,True,False,5cbf968cac918a00159337e8,M0E3,2023-04-02 20:53:39,2023-04-02 20:55:09,48d6ffcd57,
666483e34b52pqhvfp3n66648943cv7t,False,False,True,False,5c4765349afd7b000196f770,M0E3,2023-04-02 12:56:22,2023-04-02 12:58:35,5e9fc70162,
u739a9p5vzkx6tvkl5u739a9pbw8f7cc,False,False,True,False,5ef647ec3ce68a1178780f5a,M0E3,2023-04-01 17:02:31,2023-04-01 17:02:51,4ffd047acd,
t16pspbh9p297ikyookt16pspbh2vsnk,False,False,True,False,622e73ee8e552144c702f353,M0E3,2023-04-01 09:45:41,2023-04-01 09:46:25,5063729d95,
c7ciwz6laukthv1cpc7cidxxu910abuy,False,False,True,False,5f0874db34894f07bd04f436,M0E3,2023-04-01 08:22:02,2023-04-01 08:22:59,38d3134a8d,
aitffw6u4d0d94gaitffmbfx439oqtkm,False,False,True,True,6154918f83e8ca861b23ea04,M0E3,2023-04-01 07:16:44,2023-04-01 07:18:00,bd3a5bf919,
p6x47rk6b6d2ahsks2a3p6x4725g12bn,False,False,True,False,5b09360c2971540001e3e248,M0E3,2023-03-31 19:19:58,2023-03-31 19:20:27,3aa82378d0,
3lw6k8ahld2zcp3lwwo2e7t3sjv0z0e8,False,False,True,False,582086da97b5100001b9b830,M0E3,2023-03-31 18:18:07,2023-03-31 18:18:39,18260623d5,
3cxdyu6bkpbsn8xliq3cxdyu62pcxcvn,False,False,True,False,5b96b497169b86000125198e,M0E3,2023-03-31 15:36:13,2023-03-31 15:36:38,a394223897,
qpq39v87sk9grgesqpq3aa5srj717y08,False,False,True,False,5d1b9f1b4cebc80017c1d9ca,M0E3,2023-03-31 08:10:10,2023-03-31 08:10:43,88c44054ff,
l0udzz6ks1y7n4xqycps7feyl0udzrnr,False,False,True,False,60bceb1dcefc0afe67041489,M0E3,2023-03-31 05:23:27,2023-03-31 05:23:57,02513cc7cc,
0q8o85oe9ydabyc6e0q8o85bjicv6d2q,False,False,True,False,56c6f9efb0b7a1000c5d12d7,M0E3,2023-03-30 23:00:24,2023-03-30 23:01:04,478c47df8d,
vhrn3ilifzcqlvhrnlngwst62bnt973h,False,False,True,False,578163a5c6144900014a0d21,M0E3,2023-03-30 21:34:19,2023-03-30 21:35:41,9c7dbcee29,
x8f99dw9brd1onhx8f99vxdnydxyj93y,False,False,True,False,5d5317c8f780730018f2c748,M0E3,2023-03-30 21:12:58,2023-03-30 21:13:29,098c482b24,
llc28h9zufewsdtvvllc28h6nzhyr8w0,False,False,True,False,5cf3ce21392ca30016117ebb,M0E3,2023-03-30 18:03:44,2023-03-30 18:05:04,c8baa6bb44,
i9tndbnemdcn70gqi9tndbxcq4l4xp8q,False,False,True,False,63dff8bf03e29837eef8a379,M0E3,2023-03-30 16:29:13,2023-03-30 16:29:58,851618b0fc,
33mtlnuqocb6a70lf33mtln2n4md281v,False,False,True,False,5ba151aaa9e7be000135f08f,M0E3,2023-03-30 16:25:26,2023-03-30 16:25:51,d5caf2239e,
f1eigrizsv99ldxqzkgvvyf1ei49yokp,False,False,True,False,5fc63e053cf83c06341ac94a,M0E3,2023-03-30 13:43:40,2023-03-30 13:44:12,33387c67dc,
oljbncz9juiesnp45loljbncz9q4up4e,False,False,False,True,5c012e180a73f700012f3c58,M0E3,2023-03-30 13:04:45,2023-03-30 13:05:26,55165ddf1a,
ynoif2fiux64u7w7ac2pynoif2fln5zz,False,False,True,False,6346aa206a094aebaddadf02,M0E3,2023-03-30 12:21:41,2023-03-30 12:22:50,0bac4b6638,
anfsl0c7xrnjufv45anfskzp3bt7nu7s,False,False,True,False,5a0a0b3afe645f0001e9f296,M0E3,2023-03-30 11:53:51,2023-03-30 11:54:57,393151778e,
yzrfrgg4fa1lqp4rkzyzrfra1o8ynja6,False,False,True,False,5d442839a8faa30001131e8a,M0E3,2023-03-30 11:09:03,2023-03-30 11:09:55,5fffb6d290,
1apou97bpggrtr64dtyz41apou9ppozp,False,False,True,False,5f2afec0781f2848ac688140,M0E3,2023-03-30 02:02:07,2023-03-30 02:02:45,4d14006975,
la9uvyoo5nlphwla9uvia8hbtlhdmmcp,False,False,True,False,56c393c495cf7f000b956b25,M0E3,2023-03-29 18:54:50,2023-03-29 18:55:48,e331f7b42b,
oedyfrd8jsa09sw839h0xxoedyfrd09f,False,False,True,False,5d2b08784588590018cf70bb,M0E3,2023-03-29 18:14:08,2023-03-29 18:15:05,19879670db,
tbscrpe6z8ctvo37pghz52gh6npwwavo,False,False,True,False,6307d62f2d8eece6282a3f6e,M0E3,2023-03-29 17:44:23,2023-03-29 17:45:10,f1d5434815,
4fb8xx7dber6t15ky14fb82b3ef4zl8x,False,False,True,False,5d514a73f20feb00160b5e0e,M0E3,2023-03-29 16:49:26,2023-03-29 16:50:51,bed5c23776,
