#,Do you already have a belief that you would like to challenge?,Do you have a belief in mind that you'd like to challenge?,Please state your belief,How much do you believe it is true?,What evidence do you have that it is true?,"Looking at your answer again, do you think what you shared is something you *believe to be true* or an *objective fact* you can prove",What objective evidence do you have that this is true?,Is there any objective evidence that this is *not* true?,Is there any objective evidence that this belief is *not* true?,Would you like to see an example before creating your own balanced belief?,Would you like to see an example before creating your own balanced belief?,What would be a more balanced belief?,What would be a more balanced belief?,"Just checking in with you, how did that feel?",Do you feel any different about this belief after considering the evidence for and against it?,This can sometimes happen. Could you share more about what makes it more believable now?,"Is there something you can do differently in the next couple of days, given that this belief feels less true to you now? ",uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
z7qquwhev59updvp1ovm8vz7qqu5oima,0,Yes,If I say something in a meeting others will think I'm stupid,3,I feel stupid,Fact,,I have given good answers and ideas before and received good feedback,,No,,If I say something in a meeting I may feel stupid but others could think it is a good input,,Reassuring,I believe it less,,Try to think more positively,5360c37cfdf99b02ccc08fcb,M1E2,2023-04-24 11:00:50,2023-04-24 11:03:14,00059cb585,
eunjuw6udl6ceunvjwn1fofhtt0tvwme,0,Yes,If I go for a job the people interviewing will just think I'm too old,5,I am 52,Fact,,I don't actually know what the people interviewing me will be thinking,,Yes,,"Even though I'm now 52, it doesn't mean that people won't want to employ me",,Ok,I still believe it just as much,,,5cf3ce21392ca30016117ebb,M1E2,2023-04-21 12:48:10,2023-04-21 12:53:08,c8baa6bb44,
pj1udizlsxmqrkpj1udv9btje2gurio0,0,Yes,"If I try and have a conversation, I'll say something wrong and people will think I'm weird",4,I don't fit in with most people.,Belief,I don't know what to say,,Not sure,,Yes,,"If I have a conversation with someone, I might day something weird, but I might have a nice chat",Strange,I still believe it just as much,,,5d6d8664171f6f0016e53a20,M1E2,2023-04-21 09:40:08,2023-04-21 09:45:06,9e5da350c7,
in9suytxq4x6gb4k7c398g07in9suytx,1,,If I talk too much people will think I'm very annoying,5,People told me in the past that I talk too much,Fact,,My friends often tell me that they like talking to me and they don't think I talk too much,,Yes,,Some people might find me annoying and that's OK because you can't be liked by everyone. It matters what my friends think,,Good,I still believe it just as much,,,5f28196752b92a0a83d7a9db,M1E2,2023-04-19 14:09:22,2023-04-19 14:15:27,c0a611503b,
fad6nyzjiw9kf8gbpoieffad6nybek93,1,,"If I do not do my best, I will lose my job and family",4,Because my job situation seems precarious,Belief,Not sure I have any!,,My family repeatedly say they love and care about me and would not leave,,Yes,,I may lose my job but I will have my family,Better!,I believe it less,,Try to challenge these ideas when they come up,62a1fd297768ca1c93288d11,M1E2,2023-04-14 11:47:52,2023-04-14 11:49:59,2eb31868d7,
wzw0eraaf8asv1wxrwzw0849z1fl6n75,1,,If I do lose weight other people will value me more,4,Thinner people seem to be valued more,Belief,Societal belief,,Logically I know it’s not exactly true,,Yes,,I believe people will value me more if I lose weight but this may not be true,Good,I believe it less,,Try to be more objective about these beliefs,60768467a4f8fb1d215ff60c,M1E2,2023-04-11 18:00:08,2023-04-11 18:03:11,341521fbde,
33w98ptknehso2x9e33w98puusj6ad3g,1,,If I make a mistake while driving others will think I'm stupid,4,People look at you funny,Belief,None,,"Well, most times people just go about their business",,Yes,,Everyone makes mistakes,Liberating,I believe it less,,Ignore people and focus on myself,5ec5b2f06ec5296104b51897,M1E2,2023-04-11 14:12:54,2023-04-11 14:19:01,ab87547fb5,
kgt0zoiw3z55hwsuakgt0zoi4ib3gwva,0,"No, I'll come back later",,,,,,,,,,,,,,,,56b8ad1be1d0a2000c154093,M1E2,2023-04-10 11:31:20,2023-04-10 11:31:45,06a8283cdc,
8qp7f1na3pipsiimxtg098qp74w72k8k,1,,"If I’m speaking in a group, everyone will look at me",5,"I can see it happening, it’s fact",Fact,,"Honestly, no",,Yes,,Everyone is looking at me because they are listening to me,,It makes sense,I still believe it just as much,,,56c6f9efb0b7a1000c5d12d7,M1E2,2023-04-10 09:38:31,2023-04-10 09:40:41,478c47df8d,
9fg2t2uot68ph6mm09fg2rey0tij9jyw,1,,If I make a mistake when speaking in public others will think I am stupid,5,The way people look at me,Belief,I don’t have any real evidence,,I guess as I cannot know what people are thinking,,Yes,,I believe that others would think I am stupid but they are probably thinking of something totally different,Ok,I still believe it just as much,,,6154918f83e8ca861b23ea04,M1E2,2023-04-08 22:23:24,2023-04-08 22:34:29,da28e18189,
