#,"Let's pretend for a moment that people will see and hear you give your speeches

How anxious do you feel about the thought of giving your first speech?",How well do you think you'll come across?,Please choose a topic for your speech:,How well do you think you came across? ,How anxious did you feel during your speech?,How much of the time did you focus your attention on yourself?,What was it like to give a speech while focusing on yourself? ,How anxious do you feel about giving the next speech?,How well do you think you'll come across?,"In the second speech, how well do you think you came across? ",How anxious did you feel?,How much of the time did you focus your attention on yourself?,What was it like to give this speech compared to the first one? ,I gave a better speech,I felt less anxious,I focused on myself less,None of the above,How would you summarize what you conclude from this experiment?,uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
8so4ovlnuf072kdb2g368so4ovlng1q3,5,2,People should have to take a test to become a parent,1,5,5,Awful,5,3,3,3,4,Slightly easier,,I felt less anxious,,,To focus less on me,5bb7a2f927fb5000013cb0e6,M2E3a,2023-04-13 19:00:46,2023-04-13 19:17:19,ff160f8864,
7jl67or8o5h73qyzw787jznronxrc2t6,5,2,People should have to take a test to become a parent,2,4,3,Difficult - I couldn't focus or bring to mind what I wanted to say because I was paying too much attention to myself and how I might look or come across. This led to me freezing a few times.,3,3,3,3,2,Much better. I spoke more like it was a general conversation and felt it easier to keep talking and exploring my ideas,I gave a better speech,I felt less anxious,I focused on myself less,,"It wasn't too easy to do either speech as I hadn't prepared for it! However I did feel the difference in shifting my focus from myself, and relaxed as a result",60b0f00d76201e617923f93f,M2E3a,2023-04-13 17:10:11,2023-04-13 17:20:18,17d4e109da,
b7og93x3fe9xobhb7og9q3dn98go39dp,4,2,People should have to take a test to become a parent,3,4,4,Felt quite awkward,4,4,4,4,3,The second was better,I gave a better speech,I felt less anxious,,,That it is not always better to be self aware,60de4cc94dfda4d9e1948e6d,M2E3a,2023-04-13 14:18:06,2023-04-13 14:19:41,aa7146c04d,
iowzzgjaqyin6ariiow58hmy3kf3nsoi,4,3,People should have to take a test to become a parent,2,4,4,"Awful and clumsy, I was too tense and struggled to breathe naturally.",4,3,3,3,2,"Not as bad as the first, I closed my eyes and tried to consider what to say more.",,I felt less anxious,I focused on myself less,,Focusing on myself too much can have an impact on what I'm trying to do.,636928ef51cdaf360bebba1e,M2E3a,2023-04-13 13:22:10,2023-04-13 13:32:53,0231d1594f,
nrcwxsdrom0td3k61k9m4nrcwxrpmz85,4,3,Marriage is an outdated institution,4,4,5,Scary,4,3,3,4,2,Less scary,,,I focused on myself less,,'-,5b89ad4819110c0001eb707c,M2E3a,2023-04-13 13:04:05,2023-04-13 13:07:08,3e1db74366,
q4logkl4upihmlcgr1dpkiq4logk77by,5,1,People should have to take a test to become a parent,1,5,3,Distracting and awkward,5,1,1,5,3,Just as bad,,,,None of the above,Focus on the things that matter at that moment in time,5d5e4ae367962a00151b58f6,M2E3a,2023-04-13 12:32:40,2023-04-13 12:41:48,4b8f881434,
o6jtsh4t5bqn2nw1o6jt7bbtwpqjn6lq,4,2,Marriage is an outdated institution,1,3,4,"I was just aware of everything I did and didn't say. I often got stuck about what words to use or how to finish a sentence. If people were really watching me, I know I didn't sound confident to them.",3,1,3,2,2,It was much easier to give this speech when I wasn't thinking about myself and was thinking more about the topic.,I gave a better speech,I felt less anxious,I focused on myself less,,"I now realise that focusing so much on myself is detrimental to me and my confidence. While it is good to check in with myself while talking to others, it doesn't help me express myself by being so inwardly focused. I'm missing put on being me more, being me bigger!",613f1d6420141eefc3e5f1b0,M2E3a,2023-04-13 09:07:52,2023-04-13 09:20:31,e41092934c,
ggy0cn79cz4kdjsggylatusdlgee1vf8,5,3,Marriage is an outdated institution,2,4,3,I felt awkward like I didn’t have a clue what I was saying,5,2,3,3,2,Felt a little better than the last one,I gave a better speech,I felt less anxious,I focused on myself less,,It’s easier to talk about things with less attention on myself,5f0d962b96a8fa000871c68c,M2E3a,2023-04-11 20:23:06,2023-04-11 20:30:40,6839e6591d,
sogqd8pm05wvi80vsogqd8j7bb0xufen,5,2,Marriage is an outdated institution,1,4,5,"Hated it, thought everyone would hate it too, cringed at the thought of my housemates hearing me.",4,2,3,3,3,A bit better but still didn't love it,I gave a better speech,I felt less anxious,I focused on myself less,,"In every day life I will come across more confident and well spoken if I focus on the people I am speaking to rather than my fears of embarrassing myself. I will try this when speaking to others, particularly men I like...",5c012e180a73f700012f3c58,M2E3a,2023-04-11 15:58:56,2023-04-11 16:07:25,55165ddf1a,
h3x8nicw9rjd4kyt0h3x8nwcuemnmzq9,5,1,People should have to take a test to become a parent,1,4,3,Hard,5,1,1,4,2,Hard,,,I focused on myself less,,Focus on others,6400d919945d23676a68b781,M2E3a,2023-04-11 15:31:15,2023-04-11 15:33:56,cce853aa75,
gh3nrk80frp2rfas4f6tgh3nrexcmdc7,5,1,People should have to take a test to become a parent,2,3,3,To be honest I had more trouble making a speech about the topic than worrying about myself. But lost focus many times,1,1,3,1,1,Much easier actually as I did what was asked and focused on the subject,I gave a better speech,,I focused on myself less,,That shifting attention is really helpful,5b96b497169b86000125198e,M2E3a,2023-04-11 14:03:25,2023-04-11 14:11:33,4ff0b09706,
lrarp8bb9bqj3ukbwphldrlrarp8bm30,5,1,People should have to take a test to become a parent,3,3,5,Made me too self conscious,4,2,4,2,1,Bit more confident,I gave a better speech,I felt less anxious,I focused on myself less,,That taking awareness away from self can curtail some of the anxious feelings,63718368eb248cc9835e70ff,M2E3a,2023-04-11 10:43:55,2023-04-11 10:51:45,e2a1debdf4,
fttfkrjjxim03c5n8tu8fttfk3t0fpq1,4,2,Marriage is an outdated institution,1,2,3,Probably easier if I could choose my own topic,3,2,1,2,2,About the same because I had nothing to say,,,,None of the above,I don't know,58209f4785e40e00012f2a7d,M2E3a,2023-04-10 22:42:46,2023-04-10 22:50:17,1305d8498c,
