,full_change
age,0.002323309357551724
wsas1_w0,-0.04077361533895576
wsas2_w0,0.02892611369228627
wsas3_w0,-0.08568171358124778
wsas4_w0,-0.027147596526029927
wsas5_w0,-0.13318899695532033
spintot_w0,-0.22333285712273607
wsastot_w0,-0.07295739199420177
wsas1_w1,0.0394695995415415
wsas2_w1,0.16479688374534027
wsas3_w1,-0.020089438283139815
wsas4_w1,0.11671367490998928
wsas5_w1,-0.03162606341488338
physical_subscale_w1,-0.1226448653511386
negative_subscale_w1,-0.31260923648998473
uncertainty_subscale_w1,-0.23248415994286983
spintot_w1,-0.28105290888067047
wsastot_w1,0.07456643276561033
wsas1_w2,0.07862704044549956
wsas2_w2,0.06418382440372125
wsas3_w2,0.1076073615641318
wsas4_w2,0.11402032568267771
wsas5_w2,0.05968592554426769
physical_subscale_w2,0.007865829961719924
negative_subscale_w2,-0.02693399220894439
uncertainty_subscale_w2,0.0020526622265284945
spintot_w2,-0.003411797516566332
wsastot_w2,0.11234293252209446
wsas1_w3,0.08469565124701703
wsas2_w3,0.17105778546039135
wsas3_w3,0.11012752728962122
wsas4_w3,0.16309846286109422
wsas5_w3,0.056183867765419185
advall_qual_w3,
advall_sev_w3,
physical_subscale_w3,0.10118994907287401
negative_subscale_w3,0.16154203669721756
uncertainty_subscale_w3,0.1518777649735436
spintot_w3,0.16816297933725774
wsastot_w3,0.14965377057022666
wsas1_w4,0.18013991958146827
wsas2_w4,0.2605520421588087
wsas3_w4,0.25823278756961515
wsas4_w4,0.27446126361372586
wsas5_w4,0.20482439734181976
physical_subscale_w4,0.2024948676779925
negative_subscale_w4,0.27238111079855987
uncertainty_subscale_w4,0.21694801029491947
spintot_w4,0.2773408957439879
wsastot_w4,0.2962814176559343
wsas1_w5,0.19894525674614869
wsas2_w5,0.2576395657258367
wsas3_w5,0.17655880329012627
wsas4_w5,0.19729954659261706
wsas5_w5,0.16590147320298448
physical_subscale_w5,0.25606894047048184
negative_subscale_w5,0.3190736747823034
uncertainty_subscale_w5,0.24649304936550331
spintot_w5,0.3329944850681354
wsastot_w5,0.24908584047834564
wsas1_w6,0.1805174793995933
wsas2_w6,0.24599348588441017
wsas3_w6,0.22611250320980703
wsas4_w6,0.26003759490350653
wsas5_w6,0.23797981607903534
physical_subscale_w6,0.32324667699628445
negative_subscale_w6,0.399288196849794
uncertainty_subscale_w6,0.3522923182425043
spintot_w6,0.42491207478129905
wsastot_w6,0.28071478453985205
wsas1_w7,0.2259585541994525
wsas2_w7,0.29600989420393625
wsas3_w7,0.36650482716008825
wsas4_w7,0.29984063110381287
wsas5_w7,0.20566646639056393
physical_subscale_w7,0.3812009109253732
negative_subscale_w7,0.4479926100666498
uncertainty_subscale_w7,0.4623677933813022
spintot_w7,0.502998356627075
wsastot_w7,0.33470150055618253
wsas1_w8,0.27168405641873844
wsas2_w8,0.35010909722266204
wsas3_w8,0.3959930945763163
wsas4_w8,0.3109179191250998
wsas5_w8,0.3360690650114066
physical_subscale_w8,0.4617395570946555
negative_subscale_w8,0.5911027183049423
uncertainty_subscale_w8,0.554609729176941
spintot_w8,0.630139521758753
wsastot_w8,0.39605423897699943
AC1P1,-0.01502696623121984
AC1P2,0.05892805393810552
AC1P3,0.07083669567008616
M0A1,0.09630129561669079
M0E1,0.013980579729979358
M0E2,0.017970739293573127
M0E3,0.04621437370357084
AC2P1,0.12275373350453403
AC2P2,0.11054187659533034
M1A1,0.027675265966190948
M1E2,-0.021324199394727298
M1E4,0.12257135966119466
AC3P1a,0.059115263560735855
AC3P2,-0.032285789996188134
M2A1,0.19423215065999566
M2E1,0.02946934067467453
M2E2a,0.0049201418454931515
M2E2b,0.00288453791404057
M2E3a,0.023985685114737434
M2E4,0.021678799777542983
AC4P1,0.030382829322522602
AC4P2,-0.03830150111558848
M4A1,0.04393462221916963
M4E1,0.02458808566201457
M4E2,0.007285250783185722
M4E3,0.013316675987715723
AC5P1,0.04639975172548357
AC5P2,-0.06303718178321671
M3A1,0.054587301955495604
M3C1,-0.018568394319699085
M3E1,-0.045762274581396596
M3E2,-0.0812927262657565
M3E4,-0.029456027268132925
total_exercises_completed,0.013746199396948076
M0_completed,0.04244228866790158
M0_any,0.0707225359302082
total_M0,0.044461944896768524
M1_completed,0.09686450188220265
M1_any,0.0023058388043355918
total_M1,0.09181066032623676
M2_completed,0.007758779013435224
M2_any,0.1680311238363475
total_M2,0.03952066227266202
M4_completed,0.013987276902616641
M4_any,0.04393462221916963
total_M4,0.014509217801089812
M5_completed,-0.002748130122668
M5_any,0.054587301955495604
total_M5,-0.030061982968442133
full_change,1.0
