,full_change
age,-0.02983813057275298
wsas1_w0,-0.011591871392119415
wsas2_w0,0.08178256917619396
wsas3_w0,-0.08520836060296881
wsas4_w0,0.04712343499353264
wsas5_w0,-0.10447620353501427
spintot_w0,-0.21440795635319293
wsastot_w0,-0.04332609351032912
wsas1_w1,0.04320566414945465
wsas2_w1,0.20007280209954098
wsas3_w1,-0.020264614993874313
wsas4_w1,0.12599074590045317
wsas5_w1,0.002817088753183047
physical_subscale_w1,-0.15519570466850904
negative_subscale_w1,-0.2983281192689041
uncertainty_subscale_w1,-0.15345542888586547
spintot_w1,-0.2585059408559377
wsastot_w1,0.08399687994933841
wsas1_w2,0.06601800371311425
wsas2_w2,0.10032564895556297
wsas3_w2,0.13406368944599098
wsas4_w2,0.13567997488737937
wsas5_w2,0.0912382379796397
physical_subscale_w2,-0.02892952257639876
negative_subscale_w2,-7.887048957769309e-05
uncertainty_subscale_w2,0.038702807218507024
spintot_w2,0.015034568593071505
wsastot_w2,0.1352178327029538
wsas1_w3,0.09598283528783538
wsas2_w3,0.22574131261668745
wsas3_w3,0.12277408644321715
wsas4_w3,0.15897333738101999
wsas5_w3,0.060249402488071625
advall_qual_w3,
advall_sev_w3,
physical_subscale_w3,0.07146551544678546
negative_subscale_w3,0.1531733889481907
uncertainty_subscale_w3,0.18980857836901052
spintot_w3,0.17331342780068704
wsastot_w3,0.1611067610823806
wsas1_w4,0.18230811872293542
wsas2_w4,0.2656002831460693
wsas3_w4,0.27560075361890096
wsas4_w4,0.26531287660320096
wsas5_w4,0.17712556579973457
physical_subscale_w4,0.17155493947735032
negative_subscale_w4,0.2653638202118428
uncertainty_subscale_w4,0.222666416660981
spintot_w4,0.24989724336874508
wsastot_w4,0.29598138926942286
wsas1_w5,0.21654519287690738
wsas2_w5,0.2876136821800628
wsas3_w5,0.2006489030778402
wsas4_w5,0.2456687106537828
wsas5_w5,0.18471614867730532
physical_subscale_w5,0.22690067858991217
negative_subscale_w5,0.3214954050335051
uncertainty_subscale_w5,0.28246602963839784
spintot_w5,0.3556900504857645
wsastot_w5,0.2873080286760157
wsas1_w6,0.18177275239498056
wsas2_w6,0.2701836243053964
wsas3_w6,0.22995172033818828
wsas4_w6,0.30715961140575226
wsas5_w6,0.24088176677658574
physical_subscale_w6,0.3013896120326071
negative_subscale_w6,0.3876825888868441
uncertainty_subscale_w6,0.3650286995327038
spintot_w6,0.40744041057051744
wsastot_w6,0.2854755892253179
wsas1_w7,0.21733122604660454
wsas2_w7,0.3195716755900153
wsas3_w7,0.35099444240432603
wsas4_w7,0.3074461287434205
wsas5_w7,0.20008502940516001
physical_subscale_w7,0.3252947177956579
negative_subscale_w7,0.4239988912859192
uncertainty_subscale_w7,0.44431776234427145
spintot_w7,0.47350208803274424
wsastot_w7,0.32573398865984016
wsas1_w8,0.2706806010578143
wsas2_w8,0.37170665891040433
wsas3_w8,0.3844765581283165
wsas4_w8,0.3939297436044081
wsas5_w8,0.3275069530599789
physical_subscale_w8,0.4000988803265039
negative_subscale_w8,0.5648783063448012
uncertainty_subscale_w8,0.5337233614276429
spintot_w8,0.6004536329861218
wsastot_w8,0.4004292388888979
AC1P1,0.01255259496601204
AC1P2,0.06693510637213422
AC1P3,0.0679598802202361
M0A1,0.12127973558811662
M0E1,0.023498838990135797
M0E2,0.027542394254889975
M0E3,0.04961573163307927
AC2P1,0.12975697767093092
AC2P2,0.11681340143472438
M1A1,0.02759587291342041
M1E2,-0.03505815848106247
M1E4,0.12432475757097494
AC3P1a,0.09855979260614012
AC3P2,0.02487821474614407
M2A1,0.22178119248927614
M2E1,0.0379823289658975
M2E2a,0.06049736459506289
M2E2b,0.053984732294039744
M2E3a,0.017841408052539358
M2E4,0.03433143242079171
AC4P1,0.05786810976616291
AC4P2,-0.001960242413775712
M4A1,0.07607208047812863
M4E1,0.05873251466693781
M4E2,0.0308846238705835
M4E3,0.03338124546711607
AC5P1,0.08329666307513321
AC5P2,-0.05762146466189077
M3A1,0.0918775193160917
M3C1,0.0030765774765850375
M3E1,-0.03956094612946502
M3E2,-0.09238537554676632
M3E4,-0.012372821899152094
total_exercises_completed,0.006080011313761917
M0_completed,0.04204411762246535
M0_any,0.09967603341345928
total_M0,0.025048728833315537
M1_completed,0.10445422291424379
M1_any,0.007156217028382376
total_M1,0.08913197150706466
M2_completed,0.011573621953232582
M2_any,0.19667350286532054
total_M2,0.09927747777577357
M4_completed,0.032359009670814204
M4_any,0.07607208047812863
total_M4,0.038606814291276124
M5_completed,0.011591936072857696
M5_any,0.0918775193160917
total_M5,0.01167812449037093
full_change,1.0
