Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641da05a0964cb196ce91129,5bddfba7712eb800010d3a61,APPROVED,2023-03-24T13:06:34.699000Z,2023-03-24T13:28:01.691000Z,2023-03-24T13:28:02.296000Z,2023-03-24T13:28:03.684055Z,1287,C14BP128,947,53,Female,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
641da05d2208720dbe5f465e,5b87c3f9e88caf0001b79375,APPROVED,2023-03-24T13:11:00.449000Z,2023-03-24T13:22:22.299000Z,2023-03-24T13:22:26.971000Z,2023-03-24T13:22:28.314209Z,682,C14BP128,1335,33,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641da05d5b25ceba997789eb,5d2b08784588590018cf70bb,APPROVED,2023-03-24T13:08:15.958000Z,2023-03-24T13:27:22.763000Z,2023-03-27T16:07:38.635000,2023-03-24T13:27:24.608714Z,1147,NOCODE,1470,55,Male,White,South Africa,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641da061d9ca2d2cf410e8dd,63fcfd532173ce9f787ddb9f,APPROVED,2023-03-24T13:08:25.101000Z,2023-03-28T12:37:53.687000Z,2023-03-28T12:37:53.980000Z,,343769,Manual Completion,69,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da0635b25ceba997789ec,62da562ad9942a440f6986c9,APPROVED,2023-03-24T13:06:43.421000Z,2023-03-24T13:18:24.500000Z,2023-03-24T13:18:24.953000,2023-03-24T13:18:24.877245Z,702,C14BP128,455,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da06398f1b1c8b6d4a3c5,595ceea8dd044900012ce64a,APPROVED,2023-03-24T13:08:40.922000Z,2023-03-24T13:53:27.663000Z,2023-03-24T13:53:31.646000Z,2023-03-24T13:53:31.829704Z,2687,C14BP128,1848,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da0659d563ca14e289396,5aafb6f2e1546900019b0772,APPROVED,2023-03-24T13:06:45.503000Z,2023-03-24T13:18:15.059000Z,2023-03-24T13:18:15.510000,2023-03-24T13:18:15.451035Z,690,C14BP128,2089,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da0694abb8e00c47bd2d0,60bceb1dcefc0afe67041489,APPROVED,2023-03-24T13:06:49.944000Z,2023-03-24T13:16:02.919000Z,2023-03-24T13:16:03.669000,2023-03-24T13:16:03.601162Z,553,C14BP128,1015,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da06ae6b835ae49199a33,627e7e91d0e389328983e765,APPROVED,2023-03-24T13:06:50.691000Z,2023-03-28T12:37:20.698000Z,2023-03-28T12:37:20.880000Z,,343831,Manual Completion,735,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da06fbd8a041e7f4344ac,5ca63ead08d8d10015d76a6b,APPROVED,2023-03-24T13:07:00.851000Z,2023-03-28T12:37:22.777000Z,2023-03-28T12:37:23.074000Z,,343822,Manual Completion,174,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641da0746fc45ea0fbaef411,5ef647ec3ce68a1178780f5a,APPROVED,2023-03-24T13:07:00.445000Z,2023-03-24T14:05:49.556000Z,2023-03-24T14:05:50.118000,2023-03-24T14:05:50.061095Z,3530,C14BP128,1022,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641da07dde7e83847d77ea32,63d13db0a6bc81fd0c0c516f,APPROVED,2023-03-24T13:07:12.104000Z,2023-03-28T12:37:29.483000Z,2023-03-28T12:37:31.490000Z,,343818,Manual Completion,77,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
641da08f21fdcd028ab592ae,64137087a26baa97a1348ce7,APPROVED,2023-03-24T13:09:15.279000Z,2023-03-24T13:27:31.834000Z,2023-03-24T13:27:32.353000,2023-03-24T13:27:32.275060Z,1097,C14BP128,22,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
641da0a307d00f19f6b1b6fa,56b0e4d16399f9000ad8d48f,APPROVED,2023-03-24T13:09:09.775000Z,2023-03-24T13:17:46.118000Z,2023-03-24T13:17:47.227000,2023-03-24T13:17:47.163213Z,517,C14BP128,1102,38,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641da0aacfb8a8e3b29e6f72,6154918f83e8ca861b23ea04,APPROVED,2023-03-24T13:10:09.529000Z,2023-03-24T13:39:07.660000Z,2023-03-24T13:39:09.231000,2023-03-24T13:39:09.168953Z,1739,C14BP128,1019,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da0b518f818fbf5bd8bcc,63d13d214a2a7a3987f88f5b,APPROVED,2023-03-24T13:08:16.100000Z,2023-03-24T13:29:47.817000Z,2023-03-24T13:29:48.313000,2023-03-24T13:29:48.237375Z,1292,C14BP128,110,31,Female,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,No,Full-Time
641da0c7aef2d1dae9995fa1,5c93de86cf602b000170c25d,APPROVED,2023-03-24T13:08:27.027000Z,2023-03-24T13:21:14.725000Z,2023-03-24T13:21:15.279000,2023-03-24T13:21:15.216379Z,768,C14BP128,687,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641da0c9a7123e0364b592c3,612a87998958706392797405,APPROVED,2023-03-24T13:08:32.475000Z,2023-03-24T13:33:11.065000Z,2023-03-24T13:33:11.627000,2023-03-24T13:33:11.549982Z,1479,C14BP128,783,34,Female,White,Bulgaria,United Kingdom,Bulgaria,Bulgarian,No,Part-Time
