Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641dddaaad902f3f81f678ce,5e5521580ee1b951df544c3c,APPROVED,2023-03-24T17:28:10.934000Z,2023-03-24T17:38:44.607000Z,2023-03-24T17:38:45.642000,2023-03-24T17:38:44.957057Z,634,C14BP128,1357,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641dddc8fb4b74295760ae5d,581ccd016c73180001fa5b2a,APPROVED,2023-03-24T17:28:40.662000Z,2023-03-24T17:43:10.812000Z,2023-03-24T17:43:11.297000,2023-03-24T17:43:11.243762Z,871,C14BP128,3874,44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641dddca75fc8fc7ac35934e,63ea4139b3e58747071301a1,APPROVED,2023-03-24T17:30:05.867000Z,2023-03-24T17:34:09.993000Z,2023-03-24T17:34:10.483000,2023-03-24T17:34:10.419341Z,245,C14BP128,89,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641dddcb37d2485944c5152a,5f0f6811a0ed4a11dbc57b79,APPROVED,2023-03-24T17:28:43.805000Z,2023-03-24T17:34:02.050000Z,2023-03-24T17:34:02.451000,2023-03-24T17:34:02.396633Z,319,C14BP128,632,45,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641dddcbb085e91a8f54395a,5b2240df023fe3000150533f,APPROVED,2023-03-24T17:28:43.296000Z,2023-03-24T17:36:33.835000Z,2023-03-24T17:36:34.314000,2023-03-24T17:36:34.251458Z,471,C14BP128,1651,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641ddde2cde3feccebc51579,6414486d4baccf7f406f7d9e,APPROVED,2023-03-24T17:31:36.553000Z,2023-03-24T17:40:58.408000Z,2023-03-24T17:41:04.238000,2023-03-24T17:40:59.137706Z,562,C14BP128,18,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641dddec817287ff2e60fbe4,5e31a1526ef37a1879a94441,APPROVED,2023-03-24T17:29:16.358000Z,2023-03-24T17:39:40.597000Z,2023-03-24T17:39:41.145000,2023-03-24T17:39:41.084819Z,625,C14BP128,1513,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641dddfed90599c0a04e0e04,5b97f2375612b30001acc4c9,APPROVED,2023-03-24T17:30:12.559000Z,2023-03-24T17:36:08.493000Z,2023-03-24T17:36:08.951000,2023-03-24T17:36:08.860528Z,356,C14BP128,1544,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641dde006ce3eb1ab2219223,5a75b131eea3d300016ddc70,APPROVED,2023-03-24T17:29:36.859000Z,2023-03-24T17:54:12.281000Z,2023-03-24T17:54:12.730000Z,2023-03-24T17:54:14.704509Z,1476,C14BP128,2335,43,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641dde08e2a2700960ac220a,62e02c96140489fcd123e187,APPROVED,2023-03-24T17:29:44.280000Z,2023-03-24T17:38:10.710000Z,2023-03-24T17:38:11.221000,2023-03-24T17:38:11.152438Z,507,C14BP128,299,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641dde0af9ddaf1589e56d3f,5a95a9c135237b000112615f,APPROVED,2023-03-24T17:29:51.359000Z,2023-03-24T17:40:57.235000Z,2023-03-24T17:40:59.010000Z,2023-03-24T17:41:01.176214Z,666,C14BP128,57,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641dde13d0a964421ddf1873,63ea497522ab8dac66f07e6d,APPROVED,2023-03-24T17:29:58.022000Z,2023-03-24T17:34:02.088000Z,2023-03-24T17:34:07.578000,2023-03-24T17:34:02.492169Z,245,C14BP128,55,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641dde2bac4141ba33fb970a,63d427e00eb0a8350d4c50df,APPROVED,2023-03-24T17:32:51.756000Z,2023-03-24T17:48:21.660000Z,2023-03-24T17:48:22.193000,2023-03-24T17:48:22.118789Z,930,C14BP128,91,24,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641dde497a47139ae1eb5ef7,5f450738ab827a05e739ef40,APPROVED,2023-03-24T17:30:49.879000Z,2023-03-24T17:37:17.871000Z,2023-03-24T17:37:18.461000,2023-03-24T17:37:18.372370Z,388,C14BP128,743,29,Male,White,Lithuania,United Kingdom,Lithuania,Lithuanian,Yes,Full-Time
641dde5e2b7c55a29ffd95a5,5a622a7f35f26b0001490a5f,APPROVED,2023-03-24T17:31:14.348000Z,2023-03-24T17:33:10.960000Z,2023-03-24T17:33:11.400000,2023-03-24T17:33:11.339538Z,117,C14BP128,858,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
