"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",35.492,1.22,126.453,29.098,0,2.97
"completion",-1.204,1.244,121.258,-0.968,0.335,0.1
"week",-4.186,0.269,964.813,-15.564,0,0.35
"sexMale",-1.654,2.002,122.289,-0.826,0.41,0.14
"I(week^2)",1.15,0.173,963.034,6.632,0,0.1
"age",1.076,0.966,121.853,1.114,0.268,0.09
"completion:week",-0.59,0.256,961.433,-2.307,0.021,0.05
"completion:sexMale",2.034,2.006,126.514,1.014,0.313,0.17
"week:sexMale",-1.235,0.424,963.491,-2.911,0.004,0.1
"completion:week:sexMale",0.699,0.443,971.219,1.58,0.114,0.06
