"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",15.39,0.943,122.913,16.324,0,1.75
"completion",-2.023,0.965,119.923,-2.096,0.038,0.23
"week",-1.652,0.16,958.43,-10.342,0,0.19
"sexMale",0.756,1.553,120.605,0.487,0.627,0.09
"I(week^2)",0.443,0.103,957.235,4.302,0,0.05
"age",1.58,0.749,120.198,2.108,0.037,0.18
"completion:week",-0.502,0.152,956.089,-3.308,0.001,0.06
"completion:sexMale",1.225,1.55,123.554,0.79,0.431,0.14
"week:sexMale",0.201,0.252,957.44,0.797,0.426,0.02
"completion:week:sexMale",0.545,0.263,962.914,2.072,0.039,0.06
